职位名称,薪资范围,公司名称,公司人数,工作经验
运维工程师,30,拉勾网,2000,本科
运维工程师,20,对啊网,2000,大专
运维,12,动视云科技,150,大专
运维,14,阳光人寿,2000,本科
游戏运维工程师,40,字节跳动,2000,本科
SRE高级运维研发工程师,40,字节跳动,2000,本科
运维工程师,12,南京赛宁,150,本科
运维工程师,20,法本信息,2000,大专
运维工程师,30,中国电信云计算公司,2000,本科
运维工程师,20,安尼梅森,150,本科
大数据运维工程师,40,Keep,2000,本科
SRE应用运维工程师 (MJ000905),40,Keep,2000,本科
运维工程师,8,中铁信安,500,本科
云平台运维工程师,25,CDS,500,本科
大数据运维工程师,50,贝壳,2000,本科
运维工程师,30,拉勾网,2000,本科
运维工程师,20,对啊网,2000,大专
运维,12,动视云科技,150,大专
运维,14,阳光人寿,2000,本科
游戏运维工程师,40,字节跳动,2000,本科
SRE高级运维研发工程师,40,字节跳动,2000,本科
运维工程师,12,南京赛宁,150,本科
运维工程师,20,法本信息,2000,大专
运维工程师,30,中国电信云计算公司,2000,本科
运维工程师,20,安尼梅森,150,本科
大数据运维工程师,40,Keep,2000,本科
SRE应用运维工程师 (MJ000905),40,Keep,2000,本科
运维工程师,8,中铁信安,500,本科
云平台运维工程师,25,CDS,500,本科
大数据运维工程师,50,贝壳,2000,本科
运维工程师,15,联通时科,500,本科
运维工程师（北京）,14,广州源创,150,本科
运维开发工程师,17,北京兰云,150,本科
服务器运维工程师,20,壳木软件,500,本科
运维实施工程师（常驻成都、非外派）,10,时空物联,2000,本科
运维工程师,9,时空物联,2000,大专
安全运维工程师,30,明略科技集团,2000,本科
运维工程师,15,高域海汇,500,本科
运维专家（oracle）,20,天鹏恒宇,500,不限
大数据运维工程师,40,Keep,2000,本科
运维工程师,20,蓝信移动（北京）科技有限公司,500,本科
运维工程师,8,中铁信安,500,本科
业务运维工程师实习,5,51社保网,2000,本科
网络运维二线工程师,20,CDS,500,本科
云平台运维工程师,25,CDS,500,本科
前端开发架构师-分布式数据库智能运维平台,60,四维纵横,50,本科
运维（阿里云L2）,15,浩鲸新智能,2000,本科
中高级运维工程师,18,友友系统,500,本科
运维工程师,30,钛氪新媒体科技,150,本科
